"POPFIT","POPFITNOTES","TRTMETHOD","CONTACTAGENCY","METHODNUMBER","PROTMETHNAME","PROTMETHURL","PROTMETHDOCUMENTATION","METHODADJUSTMENTS","COMMENTS","NULLRECORD","DATASTATUS","LASTUPDATED","INDICATORLOCATION","METRICLOCATION","MEASURELOCATION","CONTACTPERSONFIRST","CONTACTPERSONLAST","CONTACTPHONE","CONTACTEMAIL","METACOMMENTS","SUBMITAGENCY","LASTMODIFIEDDATE","METAID"
"Same","","Yes","Oregon Department of Fish and Wildlife",2,"DRAFT: Viable Salmonid Population Abundance and Productivity Field and Analysis Methods for Natural Origin Chinook populations in the Snake River Spring/Summer Chinook ESU of Northeast Oregon from 1967 to 2015","https://nrimp.dfw.state.or.us/DataClearinghouse/default.aspx?p=202&XMLname=1151.xml","","Mark-recapture estimate above weir + redd expansion below weir","  ","No","Draft","Jul 17 2018 12:00AM","http://odfwrecoverytracker.org/","","Redd counts and/or weir counts are located at http://snq.streamnet.org/","Kasey","Bliesner","(541) 962-3958","kasey.bliesner@state.or.us","ODFW reserves the right to review and revise the data at any time.","ODFW","Aug 24 2018  6:55PM",1
"Same","","Yes","Oregon Department of Fish and Wildlife",2,"A Compendium of Viable Salmonid Population Abundance and Productivity Field and Analysis Methods for Natural Origin Chinook Populations in the Snake River Spring/Summer-run ESU of Northeast Oregon from 1949 to 2015","https://nrimp.dfw.state.or.us/DataClearinghouse/default.aspx?p=202&XMLname=1151.xml","","Weir mark-recapture estimate"," There is a 2 fish difference between broodstock collection and fish spawned at the hatchery. ","No","Reviewed","Jul 17 2018 12:00AM","http://odfwrecoverytracker.org/","","Redd counts and/or weir counts are located at http://snq.streamnet.org/","Kasey","Bliesner","(541) 962-3958","kasey.bliesner@state.or.us","ODFW reserves the right to review and revise the data at any time.","ODFW","Aug 24 2018 10:15AM",2
"Same","","Yes","Oregon Department of Fish and Wildlife",2,"A Compendium of Viable Salmonid Population Abundance and Productivity Field and Analysis Methods for Natural Origin Chinook Populations in the Snake River Spring/Summer-run ESU of Northeast Oregon from 1949 to 2015","https://nrimp.dfw.state.or.us/DataClearinghouse/default.aspx?p=202&XMLname=1151.xml","","Weir mark-recapture estimate","  ","No","Reviewed","Jul 17 2018 12:00AM","http://odfwrecoverytracker.org/","","Redd counts and/or weir counts are located at http://snq.streamnet.org/","Kasey","Bliesner","(541) 962-3958","kasey.bliesner@state.or.us","ODFW reserves the right to review and revise the data at any time.","ODFW","Aug 24 2018 10:15AM",3
"Same","","Yes","Oregon Department of Fish and Wildlife",2,"A Compendium of Viable Salmonid Population Abundance and Productivity Field and Analysis Methods for Natural Origin Chinook Populations in the Snake River Spring/Summer-run ESU of Northeast Oregon from 1949 to 2015","https://nrimp.dfw.state.or.us/DataClearinghouse/default.aspx?p=202&XMLname=1151.xml","","Weir mark-recapture estimate","  ","No","Reviewed","Jul 17 2018 12:00AM","http://odfwrecoverytracker.org/","","Redd counts and/or weir counts are located at http://snq.streamnet.org/","Kasey","Bliesner","(541) 962-3958","kasey.bliesner@state.or.us","ODFW reserves the right to review and revise the data at any time.","ODFW","Aug 24 2018 10:14AM",4
"Same","","Yes","Oregon Department of Fish and Wildlife",2,"A Compendium of Viable Salmonid Population Abundance and Productivity Field and Analysis Methods for Natural Origin Chinook Populations in the Snake River Spring/Summer-run ESU of Northeast Oregon from 1949 to 2015","https://nrimp.dfw.state.or.us/DataClearinghouse/default.aspx?p=202&XMLname=1151.xml","","Weir mark-recapture estimate","","No","Reviewed","Jul 22 2016 12:00AM","http://odfwrecoverytracker.org/","","Redd counts and/or weir counts are located at http://snq.streamnet.org/","Kasey","Bliesner","(541) 962-3958","kasey.bliesner@state.or.us","ODFW reserves the right to review and revise the data at any time.","ODFW","Dec 19 2017 10:35AM",5
"Same","","Yes","Oregon Department of Fish and Wildlife",2,"A Compendium of Viable Salmonid Population Abundance and Productivity Field and Analysis Methods for Natural Origin Chinook Populations in the Snake River Spring/Summer-run ESU of Northeast Oregon from 1949 to 2015","https://nrimp.dfw.state.or.us/DataClearinghouse/default.aspx?p=202&XMLname=1151.xml","","Weir mark-recapture estimate","","No","Reviewed","Jul 22 2016 12:00AM","http://odfwrecoverytracker.org/","","Redd counts and/or weir counts are located at http://snq.streamnet.org/","Kasey","Bliesner","(541) 962-3958","kasey.bliesner@state.or.us","ODFW reserves the right to review and revise the data at any time.","ODFW","Dec 19 2017 10:41AM",6
"Same","","Yes","Oregon Department of Fish and Wildlife",2,"A Compendium of Viable Salmonid Population Abundance and Productivity Field and Analysis Methods for Natural Origin Chinook Populations in the Snake River Spring/Summer-run ESU of Northeast Oregon from 1949 to 2015","https://nrimp.dfw.state.or.us/DataClearinghouse/default.aspx?p=202&XMLname=1151.xml","","Weir mark-recapture estimate","","No","Reviewed","Sep  7 2017 12:00AM","http://odfwrecoverytracker.org/","","Redd counts and/or weir counts are located at http://snq.streamnet.org/","Kasey","Bliesner","(541) 962-3958","kasey.bliesner@state.or.us","ODFW reserves the right to review and revise the data at any time.","ODFW","Dec 19 2017 10:35AM",7
"Same","","Yes","Oregon Department of Fish and Wildlife",2,"A Compendium of Viable Salmonid Population Abundance and Productivity Field and Analysis Methods for Natural Origin Chinook Populations in the Snake River Spring/Summer-run ESU of Northeast Oregon from 1949 to 2015","https://nrimp.dfw.state.or.us/DataClearinghouse/default.aspx?p=202&XMLname=1151.xml","","Weir mark-recapture estimate","  ","No","Reviewed","Sep  7 2017 12:00AM","http://odfwrecoverytracker.org/","","Redd counts and/or weir counts are located at http://snq.streamnet.org/","Kasey","Bliesner","(541) 962-3958","kasey.bliesner@state.or.us","ODFW reserves the right to review and revise the data at any time.","ODFW","Aug 24 2018 10:14AM",8
"Same","","Yes","Oregon Department of Fish and Wildlife",2,"A Compendium of Viable Salmonid Population Abundance and Productivity Field and Analysis Methods for Natural Origin Chinook Populations in the Snake River Spring/Summer-run ESU of Northeast Oregon from 1949 to 2015","https://nrimp.dfw.state.or.us/DataClearinghouse/default.aspx?p=202&XMLname=1151.xml","","Weir mark-recapture estimate","","No","Reviewed","Jul 22 2016 12:00AM","http://odfwrecoverytracker.org/","","Redd counts and/or weir counts are located at http://snq.streamnet.org/","Kasey","Bliesner","(541) 962-3958","kasey.bliesner@state.or.us","ODFW reserves the right to review and revise the data at any time.","ODFW","Dec 19 2017 10:32AM",9
"Same","","Yes","Oregon Department of Fish and Wildlife",1,"A Compendium of Viable Salmonid Population Abundance and Productivity Field and Analysis Methods for Natural Origin Chinook Populations in the Snake River Spring/Summer-run ESU of Northeast Oregon from 1949 to 2015","https://nrimp.dfw.state.or.us/DataClearinghouse/default.aspx?p=202&XMLname=1151.xml","","Single Pass Index SGS Redd Expansion","","No","Final","Jul 22 2016 12:00AM","http://odfwrecoverytracker.org/","","Redd counts and/or weir counts are located at http://snq.streamnet.org/","Kasey","Bliesner","(541) 962-3958","kasey.bliesner@state.or.us","ODFW reserves the right to review and revise the data at any time.","ODFW","Dec 19 2017 10:41AM",10
